1.2038e-01,1.2038e-01,1.2038e-01
3.1642e-01,3.1808e-01,3.1753e-01
2.1048e-01,2.1048e-01,2.0963e-01
1.0196e-02,1.0196e-02,1.0196e-02
1.3746e-01,1.3746e-01,1.3746e-01
2.3661e-02,2.3661e-02,2.3661e-02
1.5631e-01,1.5605e-01,1.5605e-01
1.6898e-01,1.6898e-01,1.6925e-01
3.6285e-01,3.6788e-01,3.6285e-01
4.1517e-01,4.1489e-01,4.1489e-01
3.3588e-01,3.3561e-01,3.3561e-01
2.1828e-01,2.1706e-01,2.1706e-01
1.2759e-01,1.2731e-01,1.2731e-01
1.7867e-01,1.7867e-01,1.7867e-01
4.7164e-01,4.7134e-01,4.7134e-01
3.9261e-01,3.9261e-01,3.9304e-01
3.8183e-02,3.8462e-02,3.8183e-02
4.1257e-01,4.1257e-01,4.1257e-01
3.3016e-01,3.3016e-01,3.3016e-01
2.0030e-01,2.0030e-01,2.0030e-01
9.2843e-02,9.2843e-02,9.2843e-02
2.4226e-01,2.4155e-01,2.4155e-01
1.7410e-01,1.7410e-01,1.7410e-01
6.3404e-02,6.7575e-02,6.3404e-02
2.5343e-01,2.5343e-01,2.5343e-01
8.7379e-02,8.7379e-02,8.8235e-02
2.0504e-01,2.0529e-01,2.0504e-01
2.3404e-01,2.3430e-01,2.3404e-01
1.6034e-01,1.5810e-01,1.5810e-01
7.9382e-02,8.1821e-02,7.9382e-02
1.4079e-01,1.4079e-01,1.4079e-01
2.4982e-01,2.4982e-01,2.4982e-01
1.1275e-01,1.1247e-01,1.1302e-01
3.2613e-01,3.2511e-01,3.2511e-01
2.6991e-01,2.6991e-01,2.6991e-01
1.8008e-01,1.8008e-01,1.8008e-01
1.4444e-01,1.4396e-01,1.4396e-01
6.1229e-03,6.1229e-03,6.1229e-03
9.5628e-02,9.5380e-02,9.5380e-02
7.8657e-02,7.8657e-02,7.8657e-02
4.3805e-01,4.3805e-01,4.3805e-01
4.1934e-01,4.1960e-01,4.1934e-01
1.8291e-01,1.8291e-01,1.8291e-01
4.1006e-02,4.1006e-02,4.1826e-02
2.8509e-01,2.8455e-01,2.8455e-01
4.2750e-01,4.2642e-01,4.2534e-01
6.4393e-02,6.4393e-02,6.4393e-02
1.3537e-01,1.3537e-01,1.3537e-01
4.1549e-02,4.1549e-02,4.1549e-02
2.5233e-01,2.5233e-01,2.5233e-01
