8.2367e-01,8.2357e-01,8.2598e-01
6.4764e-01,6.4804e-01,6.4626e-01
7.8990e-01,7.9522e-01,7.9518e-01
7.0761e-01,7.0995e-01,7.0624e-01
8.3795e-01,8.3974e-01,8.4083e-01
9.8824e-01,9.8823e-01,9.8775e-01
7.9719e-01,7.9308e-01,7.9747e-01
8.0267e-01,7.9673e-01,8.0255e-01
9.4247e-01,9.4340e-01,9.4271e-01
9.2447e-01,9.2281e-01,9.2469e-01
8.5859e-01,8.5550e-01,8.5848e-01
7.6667e-01,7.6323e-01,7.6461e-01
6.7299e-01,6.7093e-01,6.7481e-01
8.9672e-01,8.9394e-01,8.9672e-01
8.4920e-01,8.4920e-01,8.4476e-01
9.2093e-01,9.2089e-01,9.1884e-01
9.5800e-01,9.5782e-01,9.5685e-01
9.2608e-01,9.2419e-01,9.2598e-01
8.1630e-01,8.1174e-01,8.1607e-01
5.4938e-01,5.5045e-01,5.5610e-01
8.1796e-01,8.1599e-01,8.1935e-01
9.8188e-01,9.8246e-01,9.8225e-01
9.8084e-01,9.8128e-01,9.8124e-01
9.7393e-01,9.7438e-01,9.7391e-01
6.7855e-01,6.7891e-01,6.7567e-01
6.4610e-01,6.4365e-01,6.4736e-01
8.9006e-01,8.8964e-01,8.8742e-01
6.3378e-01,6.3984e-01,6.3565e-01
6.3700e-01,6.4259e-01,6.4033e-01
8.0565e-01,8.0652e-01,8.0267e-01
9.9256e-01,9.9256e-01,9.9244e-01
8.8782e-01,8.8593e-01,8.8802e-01
8.1782e-01,8.2083e-01,8.2032e-01
7.1948e-01,7.2422e-01,7.2185e-01
9.3673e-01,9.3542e-01,9.3620e-01
8.1077e-01,8.1457e-01,8.1504e-01
8.4419e-01,8.4648e-01,8.4724e-01
8.5548e-01,8.5214e-01,8.5456e-01
6.4711e-01,6.5082e-01,6.4827e-01
8.2892e-01,8.3058e-01,8.2816e-01
9.1335e-01,9.1130e-01,9.1331e-01
6.5974e-01,6.6088e-01,6.6496e-01
8.8669e-01,8.8731e-01,8.8493e-01
6.4950e-01,6.4795e-01,6.5309e-01
8.7190e-01,8.7360e-01,8.7146e-01
